date,type,operator,fatalities,location,country,cat,year,FatalFlag
date unk.,Antonov An-12B,Indonesian AF,0,unknown,Unknown country,U1,unknown,0
date unk.,Antonov An-12B,Indonesian AF,0,unknown,Unknown country,U1,unknown,0
date unk.,Antonov An-12B,Indonesian AF,0,unknown,Unknown country,U1,unknown,0
date unk.,Antonov An-12BK,Soviet AF,0,Tiksi Airport (IKS),Russia,A1,unknown,0
date unk.,Antonov An-12BP,Soviet AF,0,Massawa Airport ...,Eritrea,A1,unknown,0
date unk.,Antonov An-12BP,Soviet AF,0,unknown,Russia,U1,unknown,0
date unk.,Antonov An-2,"GUSMP, Directorate of Polar Aviation",0,unknown,Russia,A1,unknown,0
date unk.,Antonov An-2,Aeroflot,0,Chita region,Russia,A2,unknown,0
date unk.,Antonov An-24B,Russian AF,0,unknown,Russia,A1,unknown,0
date unk.,Antonov An-26,Soviet AF,0,Orenburg Air Base,Russia,O1,unknown,0
date unk.,Antonov An-26,Russian AF,0,Belgorod Airport...,Russia,A1,unknown,0
date unk.,Antonov An-26,Aeroflot,0,unknown,Russia,A1,unknown,0
date unk.,Antonov An-26,Sin Sad Airlines,0,Wadi Bu al Hashm,Libya,A1,unknown,0
date unk.,Antonov An-2R,PZL-Mielec,0,Mielec,Poland,O1,unknown,0
date unk.,Antonov An-2R,Privredna Avijacija Osijek,0,unknown,Unknown country,U1,unknown,0
date unk.,Antonov An-2T,"Aeroflot, Azerbaijan",0,unknown,Unknown country,O1,unknown,0
date unk.,Antonov An-2T,"Aeroflot, Azerbaijan",0,unknown,?,O1,unknown,0
date unk.,Antonov An-2T,"Aeroflot, Azerbaijan",0,unknown,?,O1,unknown,0
date unk.,Antonov An-2T,"Aeroflot, Azerbaijan",0,unknown,?,O1,unknown,0
date unk.,Antonov An-2T,"Aeroflot, Azerbaijan",0,unknown,?,O1,unknown,0
date unk.,Antonov An-32,Indian AF,0,Kalaikunda Air F...,India,A1,unknown,0
date unk.,Antonov An-32A,Antonov Design Bureau,0,unknown,Unknown country,A1,unknown,0
date unk.,Avia 14,Balkan Bulgarian,0,Sofia-Vrazhdebna...,Bulgaria,O1,unknown,0
date unk.,BN-2A Islander,Unknown,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A Islander,Somalian Aeronautical Corps,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A Islander,MD Air Services,0,Nassau Internati...,Bahamas,A1,unknown,0
date unk.,BN-2A Islander,Enterprise General M.Forrest,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-20 Islander,Bush Pilots,0,Charles Prince ?,Zimbabwe,U1,unknown,0
date unk.,BN-2A-21 Islander,Unknown,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-21 Islander,St. Lucia Airways,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-21 Islander,Mauritanian AF,0,unknown,Mauritania,U1,unknown,0
date unk.,BN-2A-21 Islander,Mauritanian AF,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-26 Islander,Jenair,0,Paphos Internati...,Cyprus,U1,unknown,0
date unk.,BN-2A-8 Islander,Bordeaux Aviation,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-8 Islander,Aero Servicios Caicara,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-8 Islander,Unknown,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-8 Islander,Aviacsa,0,Toluca ?,Mexico,U1,unknown,0
date unk.,BN-2A-8 Islander,Harbor Airlines,0,unknown,Unknown country,U1,unknown,0
date unk.,BN-2A-8 Islander,Aviazur,0,NoumÃ©a ?,New Caledonia,U1,unknown,0
date unk.,BN-2B-21 Islander,Surinam Air Force,0,unknown,Unknown country,U1,unknown,0
date unk.,Douglas C-47A (DC-3),Unknown,0,within Bahamas,Bahamas,A1,unknown,0
date unk.,Douglas C-47D (DC-3),USAAF,0,Unknown,Unknown country,U1,unknown,0
date unk.,Fairchild C-82A Packet,SAHSA,0,Trujillo-Capiro ...,Honduras,A1,unknown,0
date unk.,Fairchild SA227-DC Metro 23 (C-26B),Peruvian AF,0,unknown,Peru,A1,unknown,0
date unk.,Grumman G-159 Gulfstream I,JetPet,0,Nairobi-Wilson A...,Kenya,A1,unknown,0
date unk.,Ilyushin Il-12,Soviet AF,0,near Tukalan River,Russia,A1,unknown,0
date unk.,Ilyushin Il-14T,"GUSMP, Directorate of Polar Aviation",0,Ice Station Koms...,Antarctica,A1,unknown,0
date unk.,Ilyushin Il-76,Ilyushin,0,Riga-Spilve Airp...,Latvia,A1,unknown,0
date unk.,Ilyushin Il-76M,Soviet AF,0,unknown,Unknown country,U1,unknown,0
date unk.,Ilyushin Il-76M,Soviet AF,0,Novokuznetsk Air...,Russia,A1,unknown,0
date unk.,Ilyushin Il-76M,Soviet AF,0,Shadrinsk Air Base,Russia,A1,unknown,0
date unk.,Ilyushin Il-76TD,Yemen AF,0,Sana'a Internati...,Yemen,O1,unknown,0
date unk.,Ilyushin Il-78,Ukraine Air Force,0,Uzyn Air Base,Ukraine,O1,unknown,0
date unk.,Let L-410T,Libyan Arab Rep. Air Force,0,unknown,Libya,U1,unknown,0
date unk.,Let L-410UVP,Atlantic Airlines,0,La Ceiba ?,Honduras,A1,unknown,0
date unk.,Lisunov Li-2,Unknown,0,near Ugulan,Russia,A1,unknown,0
date unk.,Lisunov Li-2,"Aeroflot, Yakutsk",0,near Tiksi,Russia,A1,unknown,0
date unk.,Lisunov Li-2F,Polish AF,0,unknown,Poland,O1,unknown,0
date unk.,SNCASO S.O.94R Corse II,French Navy,0,within France,France,A1,unknown,0
date unk.,Super Avia 14,Balkan Bulgarian,0,Provadia,Bulgaria,A1,unknown,0
date unk.,Yakovlev Yak-40EC,Weasua Air Transport,0,Monrovia-Sprigg ...,Liberia,U1,unknown,0
02-AUG-1919,Caproni Ca.48,Caproni,14,Verona,Italy,A1,1919,1
11-AUG-1919,Felixstowe Fury,RAF,1,near Felixtowe RNAS,U.K.,A1,1919,1
23-FEB-1920,Handley Page O/7,Handley Page Transport,0,"Acadia Siding, C...",South Africa,A1,1920,0
25-FEB-1920,Handley Page O/400,Handley Page Transport,0,near El Shereik,Sudan,A1,1920,0
30-JUN-1920,Handley Page O/400,Handley Page Transport,0,ÃstanÃ¥,Sweden,A1,1920,0
14-DEC-1920,Handley Page O/400,Handley Page Transport,4,Golders Green,U.K.,A1,1920,1
15-JAN-1921,Aeromarine 75,Aeromarine Airways,0,Havana harbour,Cuba,O1,1921,0
02-MAR-1921,Handley Page O/7,HP Indo-Burmese Transport,0,Meerut,India,O1,1921,0
04-MAR-1921,Caproni Ca.60 Noviplano,Caproni,0,Lago Maggiore,Italy,A1,1921,0
26-AUG-1921,Farman F.60 Goliath,SNETA,2,near Calais [The Engl...,France,A1,1921,1
27-SEP-1921,Farman F.60 Goliath,SNETA,0,Evere Airfield,Belgium,O1,1921,0
27-SEP-1921,Farman F.60 Goliath,SNETA,0,Evere Airfield,Belgium,O1,1921,0
30-DEC-1921,Handley Page O/10,Handley Page Transport,0,Berck-sur-Mer,France,U1,1921,0
22-JAN-1922,Handley Page O/10,Handley Page Transport,0,near Senlis,France,A1,1922,0
31-MAR-1922,Handley Page O/7,Chinese Government,14,near Beijing-Nanyuan ...,China,A1,1922,1
07-APR-1922,Farman F.60 Goliath,Grands Express AÃ©riens,5,Thieuloy-Saint-A...,France,A1,1922,1
13-JAN-1923,Aeromarine 75,Aeromarine Airways,4,"near Havana, Cuba",Atlantic Ocean,A1,1923,1
14-MAY-1923,Farman F.60 Goliath,Air Union,6,"Monsures, Somme",France,A1,1923,1
25-JUN-1923,Farman F.60 Goliath,Air Union,0,near Ãtaples,France,A1,1923,0
10-JUL-1923,Handley Page W.8,Handley Page Transport,0,Poix,France,A1,1923,0
15-JUL-1923,Farman F.60 Goliath,Compagnie AÃ©rienne FranÃ§aise,0,near Valenciennes,France,A1,1923,0
27-AUG-1923,Farman F.60 Goliath,Air Union,1,"East Malling, Kent",U.K.,A1,1923,1
03-DEC-1923,Farman F.60 Goliath,Air Union,0,"Littlestone, Kent",U.K.,A1,1923,0
??-???-1923,Aeromarine 75,Aeromarine Airways,0,Havana harbour,Cuba,O1,1923,0
22-JAN-1924,Farman F.60 Goliath,Air Union,0,London-Croydon A...,U.K.,A1,1924,0
06-AUG-1924,Farman F.60 Goliath,Air Union,0,"Golden Green, ne...",U.K.,A2,1924,0
24-AUG-1924,Farman F.61 Goliath,SGTA,0,near Amsterdam-Schiph...,Netherlands,A1,1924,0
16-OCT-1925,Farman F.60 Goliath,Air Union,3,"Wadhurst, East S...",U.K.,A1,1925,1
14-NOV-1925,Farman F.60 Goliath,Air Union,0,near Boulogne [Englis...,France,A2,1925,0
18-AUG-1926,BlÃ©riot 155,Air Union,4,"Hurst, near Ashf...",U.K.,A1,1926,1
02-OCT-1926,BlÃ©riot 155,Air Union,7,"Leigh, Kent",U.K.,A1,1926,1
21-OCT-1926,Handley Page W.10,Imperial Airways,0,English Channel,U.K.,A1,1926,0
20-NOV-1926,Junkers G.24,Deutsche Lufthansa,0,KÃ¶nigsberg,Germany,A1,1926,0
05-MAY-1927,Farman F.61 Goliath,SGTA,2,Atlantic Ocean,Atlantic Ocean,A1,1927,1
22-AUG-1927,Fokker F.VIII,KLM,1,"St. Julians, Sev...",U.K.,A1,1927,1
15-FEB-1928,Handley Page W.8b,Imperial Airways,0,near Abbeville,France,A1,1928,0
